productId,price,productName,showTitle
2.05191E+18,350,"60级，54黄，男主，26个五星角色：满命提纳里, 2命枫原万叶, 2命琴, 1命梦见月瑞希, 1命神里绫华, 1命七七, 阿蕾奇诺, 杜林, 芙宁娜, 茜特菈莉, 哥伦比娅, 流浪者, 魈, 丝柯克, 八重神子, 纳西妲, 玛拉妮, 神里绫人, 夜兰, 珊瑚宫心海, 林尼, 胡桃, 闲云, 莫娜, 迪卢克, 迪希雅，15个五星武器：精1最初的大魔术, 精1苍古自由之誓, 精1风鹰剑, 精1终末嗟叹之诗, 精1天空之脊, 精1冲浪时光, 精1息灾, 精1护摩之杖, 精1风鹰剑, 精1黑蚀, 精1天空之脊, 精1苍耀, 精1天空之脊, 精1静水流涌之辉, 精1天空之傲，4套时装：帆影游风, 岁夜欢哗, 玲雨听竹, 雨化竹身，原石 8467，圣遗物 2157【邮箱未绑定】【邮箱未绑定】【官方截图】",等级60 黄数54 主角男主 五星角色26 五星武器15 原石8467 圣遗物2157 时装数量4
2.05215E+18,130,"57级，26黄，男主，13个五星角色：4命流浪者, 2命夜兰, 2命刻晴, 神里绫华, 甘雨, 雷电将军, 珊瑚宫心海, 枫原万叶, 芙宁娜, 闲云, 琴, 迪希雅, 七七，5个五星武器：精1若水, 精1天空之翼, 精1天空之卷, 精1风鹰剑, 精1雾切之回光，四星角色：5命班尼特，1套时装：叶隐芳名，纠缠之源 2，原石 3511，圣遗物 178【邮箱不出售】【邮箱不出售】【官方截图】",等级57 黄数26 主角男主 五星角色13 五星武器5 纠缠之源2 原石3511 圣遗物178 时装数量1
2.05109E+18,400,"58级，29黄，女主，11个五星角色：满命阿蕾奇诺, 2命莫娜, 2命刻晴, 1命茜特菈莉, 1命迪希雅, 枫原万叶, 丝柯克, 提纳里, 琴, 七七, 梦见月瑞希，6个五星武器：精1最初的大魔术, 精1祭星者之望, 精1赤月之形, 精1赦罪, 精1狼的末路, 精1阿莫斯之弓，3套时装：岁夜欢哗, 倩影游侠, 玲雨听竹，原石 640，圣遗物 223【邮箱不出售】【邮箱不出售】【官方截图】",等级58 黄数29 主角女主 五星角色11 五星武器6 原石640 圣遗物223 时装数量3
2.04837E+18,85,"50级，9黄，女主，8个五星角色：兹白, 哥伦比娅, 可莉, 温迪, 刻晴, 莫娜, 迪希雅, 迪卢克，1个五星武器：精1天空之翼，1套时装：玲雨听竹，原石 95，圣遗物 447【邮箱未绑定】【邮箱未绑定】【官方截图】",等级50 黄数9 主角女主 五星角色8 五星武器1 原石95 圣遗物447 时装数量1
2.05457E+18,2000,"60级，83黄，男主，30个五星角色：4命琴, 4命莫娜, 3命迪卢克, 3命流浪者, 2命奈芙尔, 2命菈乌玛, 2命哥伦比娅, 2命纳西妲, 2命刻晴, 2命希诺宁, 2命玛拉妮, 2命芙宁娜, 2命玛薇卡, 2命阿蕾奇诺, 2命迪希雅, 1命七七, 1命梦见月瑞希, 1命白术, 1命提纳里, 杜林, 钟离, 闲云, 枫原万叶, 爱可菲, 茜特菈莉, 伊涅芙, 八重神子, 雷电将军, 希格雯, 夜兰，12个五星武器：精2四风原典, 精1最初的大魔术, 精1苍古自由之誓, 精1猎人之径, 精1风鹰剑, 精1不灭月华, 精1真语秘匣, 精1天空之卷, 精1冲浪时光, 精1不灭月华, 精1赤月之形, 精1天空之脊，7套时装：叶隐芳名, 倩影游侠, 雨化竹身, 极夜真梦, 玲雨听竹, 炽绘奇旅, 岁夜欢哗，纠缠之源 20，原石 15965，圣遗物 2174【邮箱实名】【网易邮箱出售】【官方截图】",等级60 黄数83 主角男主 五星角色30 五星武器12 纠缠之源20 原石15965 圣遗物2174 时装数量7
2.0547E+18,666,"59级，32黄，女主，14个五星角色：3命琴, 2命哥伦比娅, 2命芙宁娜, 2命玛薇卡, 1命雷电将军, 1命莫娜, 伊涅芙, 茜特菈莉, 菲林斯, 希诺宁, 七七, 迪卢克, 提纳里, 刻晴，7个五星武器：精1帷间夜曲, 精1焚曜千阳, 精1狼的末路, 精1支离轮光, 精1阿莫斯之弓, 精1四风原典, 精1天空之傲，四星角色：5命班尼特，3套时装：炽绘奇旅, 玲雨听竹, 岁夜欢哗，原石 290，圣遗物 1091【邮箱未实名】【网易邮箱出售】【官方截图】",等级59 黄数32 主角女主 五星角色14 五星武器7 原石290 圣遗物1091 时装数量3
2.02026E+18,3500,"60级，76黄，男主，20个五星角色：满命兹白, 满命那维莱特, 满命迪卢克, 4命莫娜, 3命七七, 3命迪希雅, 2命希诺宁, 2命丝柯克, 2命茜特菈莉, 2命刻晴, 2命纳西妲, 2命玛薇卡, 1命芙宁娜, 1命阿蕾奇诺, 哥伦比娅, 枫原万叶, 瓦雷莎, 琴, 梦见月瑞希, 提纳里，12个五星武器：精2岩峰巡歌, 精2万世流涌大典, 精1溢彩心念, 精1祭星者之望, 精1风鹰剑, 精1天空之卷, 精1和璞鸢, 精1天空之卷, 精1焚曜千阳, 精1天空之傲, 精1朏魄含光, 精1苍耀，3套时装：岁夜欢哗, 炽绘奇旅, 莘露的赠礼，原石 3，圣遗物 473【邮箱未绑定】【邮箱未绑定】【官方截图】",等级60 黄数76 主角男主 五星角色20 五星武器12 原石3 圣遗物473 时装数量3
2.03614E+18,294,"60级，58黄，女主，22个五星角色：4命刻晴, 4命七七, 4命莫娜, 2命琴, 2命芙宁娜, 1命菈乌玛, 1命哥伦比娅, 1命魈, 1命提纳里, 1命胡桃, 1命迪卢克, 奈芙尔, 钟离, 流浪者, 枫原万叶, 神里绫华, 雷电将军, 纳西妲, 夜兰, 珊瑚宫心海, 迪希雅, 埃洛伊，12个五星武器：精2不灭月华, 精2天空之脊, 精2和璞鸢, 精1千夜浮梦, 精1和璞鸢, 精1四风原典, 精1狼的末路, 精1天空之卷, 精1苍古自由之誓, 精1赤沙之杖, 精1天空之刃, 精1薙草之稻光，6套时装：帆影游风, 闪耀协奏, 极夜真梦, 玲雨听竹, 纱中幽兰, 叶隐芳名，纠缠之源 34，原石 167，圣遗物 357【邮箱不出售】【邮箱不出售】【官方截图】",等级60 黄数58 主角女主 五星角色22 五星武器12 纠缠之源34 原石167 圣遗物357 时装数量6
2.05239E+18,450,"60级，73黄，男主，31个五星角色：4命莫娜, 3命琴, 2命雷电将军, 2命刻晴, 2命阿蕾奇诺, 2命七七, 2命迪希雅, 1命哥伦比娅, 1命提纳里, 1命芙宁娜, 1命那维莱特, 1命胡桃, 1命迪卢克, 八重神子, 希诺宁, 钟离, 闲云, 枫原万叶, 魈, 丝柯克, 爱可菲, 茜特菈莉, 优菈, 神里绫华, 艾尔海森, 纳西妲, 夜兰, 宵宫, 赛诺, 梦见月瑞希, 埃洛伊，20个五星武器：精1天空之翼, 精1薙草之稻光, 精1雾切之回光, 精1天空之翼, 精1息灾, 精1苍古自由之誓, 精1冲浪时光, 精1和璞鸢, 精1天空之刃, 精1万世流涌大典, 精1护摩之杖, 精1息灾, 精1神乐之真意, 精1狼的末路, 精1狼的末路, 精1四风原典, 精1苍耀, 精1天空之傲, 精1赤月之形, 精1雾切之回光，四星角色：5命班尼特，12套时装：炽绘奇旅, 倩影游侠, 岁夜欢哗, 宿雪桃红, 雨化竹身, 静暇雅宴, 花时来信, 极夜真梦, 纱中幽兰, 霓裾翩跹, 帆影游风, 叶隐芳名，原石 177，圣遗物 850【邮箱不出售】【邮箱不出售】【官方截图】",等级60 黄数73 主角男主 五星角色31 五星武器20 原石177 圣遗物850 时装数量12
2.04714E+18,820,"60级，93黄，女主，31个五星角色：满命芙宁娜, 满命妮露, 满命神里绫人, 5命七七, 3命雷电将军, 3命刻晴, 2命琴, 2命提纳里, 2命迪卢克, 2命莫娜, 1命娜维娅, 1命夜兰, 1命迪希雅, 哥伦比娅, 枫原万叶, 纳西妲, 阿蕾奇诺, 希诺宁, 千织, 阿贝多, 钟离, 闲云, 流浪者, 魈, 丝柯克, 神里绫华, 艾尔海森, 希格雯, 兹白, 埃洛伊, 梦见月瑞希，21个五星武器：精2薙草之稻光, 精2和璞鸢, 精1千夜浮梦, 精1狼的末路, 精1雾切之回光, 精1天空之卷, 精1苍耀, 精1苍古自由之誓, 精1岩峰巡歌, 精1苍古自由之誓, 精1有乐御簾切, 精1天空之刃, 精1裁断, 精1静水流涌之辉, 精1冲浪时光, 精1苇海信标, 精1圣显之钥, 精1天空之刃, 精1赤角石溃杵, 精1波乱月白经津, 精1天空之刃，10套时装：岁夜欢哗, 倩影游侠, 莎邦之息, 雨化竹身, 花时来信, 纱中幽兰, 霓裾翩跹, 玲雨听竹, 闪耀协奏, 叶隐芳名，原石 72，圣遗物 2328【邮箱实名】【网易邮箱出售】【官方截图】",等级60 黄数93 主角女主 五星角色31 五星武器21 原石72 圣遗物2328 时装数量10
